"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr10"	15734911	15738822	"ENSMUST00000218861.1"	"Gm32283"	"-"	"lincRNA"	"chr10"	15600226	15780010	"ENSMUST00000219416.1"	"Gm47712"	"+"	"lincRNA"	3911	"opposite"
"chr16"	27317943	27326641	"ENSMUST00000232586.1"	"Gm32312"	"-"	"antisense"	"chr16"	27307488	27351212	"ENSMUST00000066852.8"	"Ostn"	"+"	"protein_coding"	8698	"opposite"
"chr10"	77758989	77759682	"ENSMUST00000168997.1"	"Gm3233"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"Tspear"	"+"	"protein_coding"	693	"opposite"
"chr8"	91621447	91629729	"ENSMUST00000168442.1"	"Gm3235"	"-"	"antisense"	"chr8"	91313524	91668439	"ENSMUST00000069718.14"	"Fto"	"+"	"protein_coding"	8282	"opposite"
"chr12"	70675846	70681850	"ENSMUST00000222630.1"	"Gm32369"	"-"	"lincRNA"	"chr12"	70650181	70693780	"ENSMUST00000220504.1"	"Gm24474"	"+"	"lincRNA"	6004	"opposite"
"chr10"	77770632	77771325	"ENSMUST00000168298.1"	"Gm3238"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"Tspear"	"+"	"protein_coding"	693	"opposite"
"chr16"	96918731	96922160	"ENSMUST00000232934.1"	"Gm32432"	"+"	"antisense"	"chr16"	96590839	97170752	"ENSMUST00000056102.8"	"Dscam"	"-"	"protein_coding"	3429	"opposite"
"chr10"	77781849	77782542	"ENSMUST00000167358.1"	"Gm3250"	"-"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"Tspear"	"+"	"protein_coding"	693	"opposite"
"chr16"	96723499	96773608	"ENSMUST00000232800.1"	"Gm32509"	"+"	"processed_transcript"	"chr16"	96590839	97170752	"ENSMUST00000056102.8"	"Dscam"	"-"	"protein_coding"	50109	"opposite"
"chr16"	29829455	29834728	"ENSMUST00000232318.1"	"Gm32679"	"-"	"lincRNA"	"chr16"	29811057	29837814	"ENSMUST00000181815.1"	"Gm26834"	"+"	"lincRNA"	5273	"opposite"
"chr9"	103521786	103545977	"ENSMUST00000214196.1"	"Gm32743"	"+"	"antisense"	"chr9"	103483777	103761837	"ENSMUST00000189588.6"	"Tmem108"	"-"	"protein_coding"	24191	"opposite"
"chr19"	20922391	20947009	"ENSMUST00000238088.1"	"Gm32750"	"+"	"antisense"	"chr19"	20783457	20954202	"ENSMUST00000039500.3"	"Tmc1"	"-"	"protein_coding"	24618	"opposite"
"chr14"	4892415	4902431	"ENSMUST00000164459.1"	"Gm3278"	"+"	"protein_coding"	"chr14"	4867976	4930414	"ENSMUST00000181157.7"	"Gm26650"	"-"	"processed_transcript"	10016	"opposite"
"chr16"	13462545	13467237	"ENSMUST00000210738.1"	"Gm32817"	"+"	"processed_transcript"	"chr16"	13354373	13468745	"ENSMUST00000210378.1"	"Gm15738"	"-"	"antisense"	4692	"opposite"
"chr7"	49085082	49086981	"ENSMUST00000208696.1"	"Gm32849"	"+"	"lincRNA"	"chr7"	48959096	49606821	"ENSMUST00000183659.7"	"Nav2"	"+"	"protein_coding"	1899	"same"
"chr10"	77861974	77862882	"ENSMUST00000218443.1"	"Gm3285"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"Tspear"	"+"	"protein_coding"	908	"same"
"chr10"	68530093	68533936	"ENSMUST00000220037.1"	"Gm32872"	"+"	"antisense"	"chr10"	68430952	68541896	"ENSMUST00000020103.8"	"Cabcoco1"	"-"	"protein_coding"	3843	"opposite"
"chr13"	95736582	95753638	"ENSMUST00000238548.1"	"Gm32880"	"+"	"antisense"	"chr13"	95627173	95891995	"ENSMUST00000068603.7"	"Iqgap2"	"-"	"protein_coding"	17056	"opposite"
"chr6"	84008897	84012121	"ENSMUST00000203143.1"	"Gm33024"	"-"	"antisense"	"chr6"	84008589	84211060	"ENSMUST00000113821.7"	"Dysf"	"+"	"protein_coding"	3224	"opposite"
"chr5"	96456388	96457743	"ENSMUST00000198132.1"	"Gm33050"	"-"	"antisense"	"chr5"	96373954	96784728	"ENSMUST00000036019.4"	"Fras1"	"+"	"protein_coding"	1355	"opposite"
"chr10"	95134289	95136874	"ENSMUST00000217798.1"	"Gm33091"	"-"	"lincRNA"	"chr10"	95120581	95145825	"ENSMUST00000220248.1"	"Gm29684"	"-"	"lincRNA"	2585	"same"
"chr14"	5164534	5169233	"ENSMUST00000179659.1"	"Gm3317"	"+"	"protein_coding"	"chr14"	5161445	5221712	"ENSMUST00000181033.7"	"Gm26552"	"-"	"processed_transcript"	4699	"opposite"
"chr7"	129667424	129693400	"ENSMUST00000205836.1"	"Gm33248"	"+"	"sense_intronic"	"chr7"	129658927	129731647	"ENSMUST00000206679.1"	"Gm39094"	"+"	"lincRNA"	25996	"same"
"chr10"	19716151	19718704	"ENSMUST00000213761.1"	"Gm33332"	"-"	"antisense"	"chr10"	19712569	19760053	"ENSMUST00000020185.4"	"Il20ra"	"+"	"protein_coding"	2553	"opposite"
"chr5"	126724325	126727284	"ENSMUST00000200003.1"	"Gm33347"	"-"	"lincRNA"	"chr5"	126706913	126736252	"ENSMUST00000197543.1"	"1700081B01Rik"	"+"	"lincRNA"	2959	"opposite"
"chr17"	80553463	80563942	"ENSMUST00000234757.1"	"Gm33373"	"+"	"antisense"	"chr17"	80523549	80577813	"ENSMUST00000234602.1"	"Cdkl4"	"-"	"protein_coding"	10479	"opposite"
"chr12"	108695485	108696446	"ENSMUST00000221885.1"	"Gm33467"	"+"	"antisense"	"chr12"	108688238	108702297	"ENSMUST00000167978.8"	"Degs2"	"-"	"protein_coding"	961	"opposite"
"chr14"	70018230	70057367	"ENSMUST00000224990.1"	"Gm33524"	"-"	"antisense"	"chr14"	69840419	70059918	"ENSMUST00000022678.4"	"Pebp4"	"+"	"protein_coding"	39137	"opposite"
"chr1"	36739047	36744792	"ENSMUST00000193853.1"	"Gm33533"	"-"	"lincRNA"	"chr1"	36714537	36757953	"ENSMUST00000208994.1"	"4933424G06Rik"	"+"	"protein_coding"	5745	"opposite"
"chr10"	95823972	95842930	"ENSMUST00000211096.1"	"Gm33543"	"-"	"protein_coding"	"chr10"	95817569	95849118	"ENSMUST00000220129.1"	"Gm47719"	"+"	"lincRNA"	18958	"opposite"
"chr10"	21182694	21188620	"ENSMUST00000215633.1"	"Gm33619"	"+"	"lincRNA"	"chr10"	21177626	21189182	"ENSMUST00000213692.1"	"Gm40608"	"-"	"lincRNA"	5926	"opposite"
"chr5"	44700875	44706890	"ENSMUST00000196016.1"	"Gm3364"	"-"	"sense_intronic"	"chr5"	44472131	44799680	"ENSMUST00000199256.4"	"Ldb2"	"-"	"protein_coding"	6015	"same"
"chr14"	5718335	5741577	"ENSMUST00000177556.7"	"Gm3373"	"-"	"protein_coding"	"chr14"	5607619	5807982	"ENSMUST00000096171.11"	"Gm3383"	"-"	"protein_coding"	23242	"same"
"chr10"	42861429	42864681	"ENSMUST00000216467.1"	"Gm34006"	"-"	"antisense"	"chr10"	42860369	42960780	"ENSMUST00000063063.13"	"Scml4"	"+"	"protein_coding"	3318	"opposite"
"chr17"	3270680	3283207	"ENSMUST00000232068.1"	"Gm34035"	"-"	"lincRNA"	"chr17"	3228396	3308845	"ENSMUST00000231987.1"	"Gm49797"	"+"	"lincRNA"	12590	"opposite"
"chr8"	34608304	34619429	"ENSMUST00000211296.1"	"Gm34096"	"+"	"lincRNA"	"chr8"	34589419	34640316	"ENSMUST00000211381.1"	"B930018H19Rik"	"-"	"lincRNA"	11125	"opposite"
"chr9"	107547568	107550768	"ENSMUST00000193782.1"	"Gm34106"	"-"	"antisense"	"chr9"	107547297	107551319	"ENSMUST00000010188.8"	"Zmynd10"	"+"	"protein_coding"	3200	"opposite"
"chr10"	84092265	84096249	"ENSMUST00000213796.1"	"Gm34113"	"+"	"lincRNA"	"chr10"	84036559	84100697	"ENSMUST00000216477.1"	"Gm34184"	"-"	"lincRNA"	3984	"opposite"
"chr19"	42410393	42414246	"ENSMUST00000235253.1"	"Gm34299"	"+"	"antisense"	"chr19"	42268286	42431785	"ENSMUST00000238290.1"	"Crtac1"	"-"	"protein_coding"	3853	"opposite"
"chr17"	15010175	15022449	"ENSMUST00000097395.4"	"Gm3435"	"+"	"protein_coding"	"chr17"	14995786	15041537	"ENSMUST00000097400.4"	"Gm3448"	"-"	"protein_coding"	12274	"opposite"
"chr12"	37446745	37475031	"ENSMUST00000222104.1"	"Gm34408"	"-"	"antisense"	"chr12"	37241640	37582202	"ENSMUST00000049874.13"	"Agmo"	"+"	"protein_coding"	28286	"opposite"
"chr13"	45246631	45267711	"ENSMUST00000222218.1"	"Gm34466"	"-"	"lincRNA"	"chr13"	45235634	45335588	"ENSMUST00000220736.1"	"Gm47448"	"+"	"lincRNA"	21080	"opposite"
"chr10"	43659317	43663498	"ENSMUST00000214968.1"	"Gm34481"	"+"	"lincRNA"	"chr10"	43593396	43709668	"ENSMUST00000213342.1"	"F930017D23Rik"	"+"	"lincRNA"	4181	"same"
"chr19"	43266935	43277654	"ENSMUST00000235410.1"	"Gm34517"	"+"	"antisense"	"chr19"	42786538	43388355	"ENSMUST00000099428.4"	"Hpse2"	"-"	"protein_coding"	10719	"opposite"
"chr3"	34416494	34418162	"ENSMUST00000198924.1"	"Gm34599"	"+"	"lincRNA"	"chr3"	34104457	34676030	"ENSMUST00000196243.4"	"Sox2ot"	"+"	"processed_transcript"	1668	"same"
"chr14"	103012907	103024457	"ENSMUST00000230389.1"	"Gm34643"	"+"	"lincRNA"	"chr14"	102987411	103033803	"ENSMUST00000226662.1"	"4933432I03Rik"	"-"	"lincRNA"	11550	"opposite"
"chr5"	77386598	77393683	"ENSMUST00000202460.1"	"Gm34648"	"+"	"antisense"	"chr5"	77349239	77408041	"ENSMUST00000046746.9"	"Igfbp7"	"-"	"protein_coding"	7085	"opposite"
"chr16"	32550210	32553708	"ENSMUST00000231549.1"	"Gm34680"	"+"	"lincRNA"	"chr16"	32499610	32561966	"ENSMUST00000160832.1"	"Zdhhc19"	"+"	"protein_coding"	3498	"same"
"chr7"	41209258	41209904	"ENSMUST00000206580.1"	"Gm34811"	"-"	"lincRNA"	"chr7"	41153840	41289889	"ENSMUST00000206490.1"	"Gm5592"	"+"	"protein_coding"	646	"opposite"
"chr7"	41209258	41209904	"ENSMUST00000206580.1"	"Gm34811"	"-"	"lincRNA"	"chr7"	41128645	41284220	"ENSMUST00000206040.1"	"Gm44748"	"-"	"lincRNA"	646	"same"
"chr3"	144749481	144750087	"ENSMUST00000196146.1"	"Gm34866"	"+"	"antisense"	"chr3"	144729676	144760977	"ENSMUST00000029932.13"	"Clca3a1"	"-"	"protein_coding"	606	"opposite"
"chr12"	76287893	76306983	"ENSMUST00000218341.1"	"Gm34868"	"-"	"antisense"	"chr12"	76255297	76319803	"ENSMUST00000021443.6"	"Mthfd1"	"+"	"protein_coding"	19090	"opposite"
"chr1"	185243712	185247889	"ENSMUST00000193245.1"	"Gm34882"	"-"	"antisense"	"chr1"	185204116	185286759	"ENSMUST00000069652.7"	"Rab3gap2"	"+"	"protein_coding"	4177	"opposite"
"chr9"	37312135	37324436	"ENSMUST00000217440.1"	"Gm34885"	"+"	"antisense"	"chr9"	37275834	37348432	"ENSMUST00000213633.1"	"Ccdc15"	"-"	"protein_coding"	12301	"opposite"
"chr7"	132361374	132365863	"ENSMUST00000207222.1"	"Gm34908"	"-"	"lincRNA"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	4489	"same"
"chr15"	99702663	99703976	"ENSMUST00000229686.1"	"Gm34939"	"-"	"antisense"	"chr15"	99702128	99713991	"ENSMUST00000023759.5"	"Smarcd1"	"+"	"protein_coding"	1313	"opposite"
"chr15"	99702663	99703976	"ENSMUST00000229686.1"	"Gm34939"	"-"	"antisense"	"chr15"	99702175	99705490	"ENSMUST00000163472.2"	"Gm17349"	"-"	"protein_coding"	1313	"same"
"chr3"	79551313	79552193	"ENSMUST00000161319.1"	"Gm3513"	"-"	"sense_intronic"	"chr3"	79455973	79567796	"ENSMUST00000133154.6"	"Fnip2"	"-"	"protein_coding"	880	"same"
"chr7"	132462011	132466661	"ENSMUST00000208383.1"	"Gm35147"	"-"	"lincRNA"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	4650	"same"
"chr14"	47502943	47508187	"ENSMUST00000228204.1"	"Gm35166"	"-"	"antisense"	"chr14"	47450420	47529449	"ENSMUST00000226395.1"	"Fbxo34"	"+"	"protein_coding"	5244	"opposite"
"chr5"	99508388	99511037	"ENSMUST00000196037.1"	"Gm35172"	"+"	"lincRNA"	"chr5"	99217425	99728812	"ENSMUST00000209346.1"	"Rasgef1b"	"-"	"protein_coding"	2649	"opposite"
"chr5"	52441158	52443252	"ENSMUST00000196113.1"	"Gm3519"	"+"	"antisense"	"chr5"	52374650	52471521	"ENSMUST00000059428.6"	"Ccdc149"	"-"	"protein_coding"	2094	"opposite"
"chr13"	3762349	3766722	"ENSMUST00000222335.1"	"Gm35190"	"-"	"lincRNA"	"chr13"	3759824	3781203	"ENSMUST00000223157.1"	"Gm47695"	"+"	"lincRNA"	4441	"opposite"
"chr10"	99759505	99830562	"ENSMUST00000217945.1"	"Gm35206"	"+"	"antisense"	"chr10"	99719142	99891158	"ENSMUST00000222959.1"	"Gm47578"	"+"	"antisense"	71057	"same"
"chr17"	28001064	28002362	"ENSMUST00000233367.1"	"Gm35290"	"-"	"antisense"	"chr17"	27909305	28062775	"ENSMUST00000114842.8"	"Anks1"	"+"	"protein_coding"	1298	"opposite"
"chr14"	5538495	5546373	"ENSMUST00000181880.1"	"Gm3532"	"+"	"protein_coding"	"chr14"	5514086	5574342	"ENSMUST00000181472.7"	"Gm26893"	"-"	"processed_transcript"	7878	"opposite"
"chr7"	70207434	70209182	"ENSMUST00000208979.1"	"Gm35325"	"+"	"lincRNA"	"chr7"	70178867	70337822	"ENSMUST00000208511.1"	"Gm29683"	"-"	"lincRNA"	1748	"opposite"
"chr5"	99274094	99279284	"ENSMUST00000196434.1"	"Gm35394"	"+"	"lincRNA"	"chr5"	99217425	99728812	"ENSMUST00000209346.1"	"Rasgef1b"	"-"	"protein_coding"	5190	"opposite"
"chr14"	41977872	41983325	"ENSMUST00000111870.2"	"Gm3543"	"-"	"protein_coding"	"chr14"	41943994	42003821	"ENSMUST00000064162.10"	"1700024B05Rik"	"+"	"protein_coding"	5453	"opposite"
"chr18"	34736358	34738014	"ENSMUST00000105038.2"	"Gm3550"	"+"	"protein_coding"	"chr18"	34732992	34751533	"ENSMUST00000060710.8"	"Cdc25c"	"-"	"protein_coding"	1656	"opposite"
"chr9"	110669328	110674954	"ENSMUST00000197421.1"	"Gm35715"	"-"	"antisense"	"chr9"	110656502	110711606	"ENSMUST00000019803.8"	"Ccdc12"	"+"	"protein_coding"	5626	"opposite"
"chr13"	31971085	31972329	"ENSMUST00000221737.1"	"Gm35732"	"+"	"antisense"	"chr13"	31819578	32338740	"ENSMUST00000041859.8"	"Gmds"	"-"	"protein_coding"	1244	"opposite"
"chr14"	31268756	31320941	"ENSMUST00000228755.1"	"Gm35823"	"+"	"antisense"	"chr14"	31260374	31323896	"ENSMUST00000048603.7"	"Dnah1"	"-"	"protein_coding"	52185	"opposite"
"chr18"	35069324	35087623	"ENSMUST00000238134.1"	"Gm3587"	"-"	"lincRNA"	"chr18"	34982921	35109445	"ENSMUST00000237091.1"	"Gm36037"	"+"	"processed_transcript"	18299	"opposite"
"chr17"	28822142	28822757	"ENSMUST00000233498.1"	"Gm35883"	"-"	"antisense"	"chr17"	28801089	28839949	"ENSMUST00000004985.10"	"Brpf3"	"+"	"protein_coding"	615	"opposite"
"chr14"	6435796	6444611	"ENSMUST00000169152.7"	"Gm3594"	"-"	"protein_coding"	"chr14"	6352043	6446960	"ENSMUST00000181015.7"	"Gm26630"	"+"	"processed_transcript"	8816	"opposite"
"chr9"	41805411	41838418	"ENSMUST00000215885.1"	"Gm35940"	"+"	"processed_transcript"	"chr9"	41803320	41876268	"ENSMUST00000216860.1"	"AC160966.1"	"-"	"processed_transcript"	33007	"opposite"
"chr16"	3468459	3481051	"ENSMUST00000229453.1"	"Gm35974"	"+"	"lincRNA"	"chr16"	3448992	3507196	"ENSMUST00000231018.1"	"Gm49507"	"-"	"lincRNA"	12592	"opposite"
"chr19"	29378249	29384471	"ENSMUST00000236682.1"	"Gm36043"	"-"	"antisense"	"chr19"	29367454	29388095	"ENSMUST00000016640.7"	"Cd274"	"+"	"protein_coding"	11055	"opposite"
"chr13"	33031201	33034560	"ENSMUST00000221946.1"	"Gm36099"	"-"	"antisense"	"chr13"	33027415	33041884	"ENSMUST00000006392.2"	"Serpinb9b"	"+"	"protein_coding"	3359	"opposite"
"chr14"	49722651	49744296	"ENSMUST00000226994.1"	"Gm36146"	"+"	"antisense"	"chr14"	49675951	49783383	"ENSMUST00000036972.13"	"Armh4"	"-"	"protein_coding"	21645	"opposite"
"chr7"	24448353	24451327	"ENSMUST00000206737.1"	"Gm36159"	"+"	"lincRNA"	"chr7"	24433143	24452171	"ENSMUST00000205385.1"	"Irgc1"	"-"	"protein_coding"	2974	"opposite"
"chr10"	77846802	77847303	"ENSMUST00000218749.1"	"Gm36176"	"+"	"protein_coding"	"chr10"	77686568	77886769	"ENSMUST00000092366.3"	"Tspear"	"+"	"protein_coding"	501	"same"
"chr10"	122792054	122792483	"ENSMUST00000220013.1"	"Gm36208"	"-"	"antisense"	"chr10"	122678781	122945795	"ENSMUST00000067918.11"	"Ppm1h"	"+"	"protein_coding"	429	"opposite"
"chr5"	137612851	137615247	"ENSMUST00000196660.1"	"Gm36266"	"+"	"antisense"	"chr5"	137612502	137629002	"ENSMUST00000111002.7"	"Fbxo24"	"-"	"protein_coding"	2396	"opposite"
"chr6"	134754245	134755192	"ENSMUST00000204237.1"	"Gm36328"	"+"	"antisense"	"chr6"	134715472	134792625	"ENSMUST00000100857.9"	"Dusp16"	"-"	"protein_coding"	947	"opposite"
"chr13"	48107616	48237251	"ENSMUST00000225626.1"	"Gm36346"	"-"	"lincRNA"	"chr13"	48044230	48262623	"ENSMUST00000180921.1"	"A330033J07Rik"	"-"	"antisense"	129635	"same"
"chr14"	6735684	6742332	"ENSMUST00000163850.7"	"Gm3636"	"-"	"protein_coding"	"chr14"	6684274	6783942	"ENSMUST00000181787.1"	"Gm26680"	"+"	"processed_transcript"	6648	"opposite"
"chr16"	90836595	90850963	"ENSMUST00000232254.1"	"Gm36363"	"-"	"antisense"	"chr16"	90826718	90904695	"ENSMUST00000232274.1"	"Eva1c"	"+"	"protein_coding"	14368	"opposite"
"chr18"	62566409	62579152	"ENSMUST00000236302.1"	"Gm36368"	"-"	"protein_coding"	"chr18"	62548910	62668070	"ENSMUST00000055725.11"	"Spink10"	"+"	"protein_coding"	12743	"opposite"
"chr13"	70651004	70655787	"ENSMUST00000220833.1"	"Gm36377"	"-"	"lincRNA"	"chr13"	70650143	70655979	"ENSMUST00000222964.1"	"D030007L05Rik"	"+"	"lincRNA"	4783	"opposite"
"chr1"	187616851	187651824	"ENSMUST00000191663.1"	"Gm36388"	"-"	"antisense"	"chr1"	187609028	188214386	"ENSMUST00000110939.7"	"Esrrg"	"+"	"protein_coding"	34973	"opposite"
"chr3"	130867278	130868777	"ENSMUST00000200449.1"	"Gm36520"	"+"	"lincRNA"	"chr3"	130838454	130937337	"ENSMUST00000196438.2"	"2010110G14Rik"	"-"	"lincRNA"	1499	"opposite"
"chr13"	10539737	10557707	"ENSMUST00000222590.1"	"Gm36525"	"-"	"lincRNA"	"chr13"	10357594	10658893	"ENSMUST00000180807.2"	"Gm26861"	"+"	"antisense"	17970	"opposite"
"chr13"	48593500	48595843	"ENSMUST00000221947.1"	"Gm36550"	"+"	"antisense"	"chr13"	48577871	48625664	"ENSMUST00000035824.10"	"Ptpdc1"	"-"	"protein_coding"	2343	"opposite"
"chr19"	47198240	47202032	"ENSMUST00000236668.1"	"Gm36693"	"-"	"antisense"	"chr19"	47178819	47259441	"ENSMUST00000111808.10"	"Neurl1a"	"+"	"protein_coding"	3792	"opposite"
"chr7"	72110760	72113456	"ENSMUST00000205418.1"	"Gm36696"	"+"	"antisense"	"chr7"	72077829	72306608	"ENSMUST00000079323.7"	"Mctp2"	"-"	"protein_coding"	2696	"opposite"
"chr12"	100986622	101014822	"ENSMUST00000223029.1"	"Gm36756"	"+"	"antisense"	"chr12"	100911522	101029056	"ENSMUST00000068411.4"	"Ccdc88c"	"-"	"protein_coding"	28200	"opposite"
"chr6"	66990030	67008413	"ENSMUST00000205197.1"	"Gm36816"	"-"	"antisense"	"chr6"	66896396	67021350	"ENSMUST00000043148.12"	"Gng12"	"+"	"protein_coding"	19230	"opposite"
"chr5"	32320763	32354883	"ENSMUST00000202688.1"	"Gm36840"	"-"	"antisense"	"chr5"	32232713	32364354	"ENSMUST00000202220.3"	"Plb1"	"+"	"protein_coding"	34120	"opposite"
"chr7"	44236176	44243191	"ENSMUST00000205530.1"	"Gm36864"	"+"	"protein_coding"	"chr7"	44229925	44246695	"ENSMUST00000237383.1"	"1700028J19Rik"	"-"	"protein_coding"	7015	"opposite"
"chr10"	25615631	25621563	"ENSMUST00000218080.1"	"Gm36908"	"-"	"lincRNA"	"chr10"	25536385	25673343	"ENSMUST00000191547.1"	"Gm29571"	"+"	"antisense"	5932	"opposite"
"chr12"	81228283	81243258	"ENSMUST00000182077.1"	"Gm3693"	"+"	"antisense"	"chr12"	81197914	81333164	"ENSMUST00000085238.12"	"Slc8a3"	"-"	"protein_coding"	14975	"opposite"
"chr1"	172322993	172323661	"ENSMUST00000192957.1"	"Gm36937"	"+"	"antisense"	"chr1"	172320500	172329318	"ENSMUST00000062387.7"	"Kcnj9"	"-"	"protein_coding"	668	"opposite"
"chr1"	164705418	164712513	"ENSMUST00000192040.1"	"Gm36945"	"-"	"lincRNA"	"chr1"	164681981	164712771	"ENSMUST00000194720.1"	"Gm37184"	"+"	"lincRNA"	7123	"opposite"
"chr1"	160264323	160443072	"ENSMUST00000194105.1"	"Gm36975"	"+"	"antisense"	"chr1"	160257204	160792946	"ENSMUST00000028049.12"	"Rabgap1l"	"-"	"protein_coding"	178749	"opposite"
"chr2"	4316478	4318886	"ENSMUST00000194090.1"	"Gm36988"	"+"	"sense_intronic"	"chr2"	4017743	4614041	"ENSMUST00000177457.7"	"Frmd4a"	"+"	"protein_coding"	2408	"same"
"chr1"	176754516	176758876	"ENSMUST00000195463.1"	"Gm36992"	"+"	"antisense"	"chr1"	176733661	176814067	"ENSMUST00000195717.5"	"Cep170"	"-"	"protein_coding"	4360	"opposite"
"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	863381	"same"
"chr1"	37132272	37133264	"ENSMUST00000195303.1"	"Gm37020"	"-"	"antisense"	"chr1"	37029332	37187607	"ENSMUST00000238500.1"	"Vwa3b"	"+"	"protein_coding"	992	"opposite"
"chr1"	195017891	195018242	"ENSMUST00000194642.1"	"Gm37027"	"-"	"lincRNA"	"chr1"	194976384	195027428	"ENSMUST00000181947.7"	"A330023F24Rik"	"+"	"processed_transcript"	351	"opposite"
"chr1"	38076294	38077305	"ENSMUST00000195028.1"	"Gm37062"	"-"	"sense_intronic"	"chr1"	38052785	38129662	"ENSMUST00000027251.11"	"Rev1"	"-"	"protein_coding"	1011	"same"
"chr2"	4178109	4180661	"ENSMUST00000195326.1"	"Gm37107"	"+"	"sense_intronic"	"chr2"	4017743	4614041	"ENSMUST00000177457.7"	"Frmd4a"	"+"	"protein_coding"	2552	"same"
"chr18"	37661951	37662632	"ENSMUST00000194328.1"	"Gm37118"	"-"	"antisense"	"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	681	"opposite"
"chr18"	37661951	37662632	"ENSMUST00000194328.1"	"Gm37118"	"-"	"antisense"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	681	"opposite"
"chr18"	37661951	37662632	"ENSMUST00000194328.1"	"Gm37118"	"-"	"antisense"	"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	681	"opposite"
"chr2"	13672515	13674434	"ENSMUST00000195289.1"	"Gm37126"	"+"	"antisense"	"chr2"	13651020	13794064	"ENSMUST00000003509.9"	"St8sia6"	"-"	"protein_coding"	1919	"opposite"
"chrY"	13307100	13310334	"ENSMUST00000193756.1"	"Gm37147"	"-"	"lincRNA"	"chrY"	13252441	13378797	"ENSMUST00000178599.6"	"Gm21454"	"+"	"protein_coding"	3234	"opposite"
"chr18"	37714278	37726121	"ENSMUST00000193815.1"	"Gm37165"	"-"	"antisense"	"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	11843	"opposite"
"chr18"	37714278	37726121	"ENSMUST00000193815.1"	"Gm37165"	"-"	"antisense"	"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	11843	"opposite"
"chr18"	37714278	37726121	"ENSMUST00000193815.1"	"Gm37165"	"-"	"antisense"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	11843	"opposite"
"chr3"	52198247	52200489	"ENSMUST00000194488.1"	"Gm37170"	"+"	"lincRNA"	"chr3"	52134046	52221997	"ENSMUST00000193679.1"	"Gm37202"	"-"	"lincRNA"	2242	"opposite"
"chr1"	183420654	183422213	"ENSMUST00000192860.1"	"Gm37214"	"+"	"sense_intronic"	"chr1"	183418461	183436801	"ENSMUST00000065900.9"	"Hhipl2"	"+"	"protein_coding"	1559	"same"
"chr3"	51812950	51819309	"ENSMUST00000191643.1"	"Gm37229"	"+"	"antisense"	"chr3"	51685906	52105076	"ENSMUST00000121440.3"	"Maml3"	"-"	"protein_coding"	6359	"opposite"
"chrY"	17922927	17926162	"ENSMUST00000195885.1"	"Gm37286"	"-"	"lincRNA"	"chrY"	17874740	17967596	"ENSMUST00000177639.6"	"Gm20831"	"+"	"protein_coding"	3235	"opposite"
"chr1"	160726041	160726681	"ENSMUST00000193191.1"	"Gm37328"	"-"	"sense_intronic"	"chr1"	160257204	160792946	"ENSMUST00000028049.12"	"Rabgap1l"	"-"	"protein_coding"	640	"same"
"chr1"	161030581	161031456	"ENSMUST00000194567.1"	"Gm37362"	"+"	"antisense"	"chr1"	161002921	161034849	"ENSMUST00000162226.8"	"Zbtb37"	"-"	"protein_coding"	875	"opposite"
"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	857356	"same"
"chr16"	23988481	23988595	"ENSMUST00000210705.1"	"Gm37419"	"+"	"protein_coding"	"chr16"	23965051	23988852	"ENSMUST00000023151.5"	"Bcl6"	"-"	"protein_coding"	114	"opposite"
"chr1"	138968509	138971851	"ENSMUST00000194246.1"	"Gm37423"	"+"	"processed_transcript"	"chr1"	138963868	139178960	"ENSMUST00000200429.4"	"Dennd1b"	"+"	"protein_coding"	3342	"same"
