"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"5821"	"chr13"	29796698	29796778	"ENST00000408743.1"	"AL596092.1"	"+"	"miRNA"	"chr13"	29394484	30080084	"ENST00000612955.5_3"	"MTUS2"	"+"	"protein_coding"	80	"same"	"5821_ID"
"5822"	"chr10"	5855947	5856404	"ENST00000608273.1_1"	"AL596094.1"	"+"	"lncRNA"	"chr10"	5827968	5884095	"ENST00000380127.5_6"	"GDI2"	"-"	"protein_coding"	457	"opposite"	"5822_ID"
"5823"	"chr6"	134957626	134963633	"ENST00000452888.1_1"	"AL596188.1"	"+"	"lncRNA"	"chr6"	134846284	135010473	"ENST00000655921.1_3"	"AL078590.2"	"-"	"lncRNA"	6007	"opposite"	"5823_ID"
"5824"	"chr6"	155574272	155577858	"ENST00000435295.1_3"	"AL596202.1"	"-"	"lncRNA"	"chr6"	155153830	155578857	"ENST00000461783.7_6"	"TIAM2"	"+"	"protein_coding"	3586	"opposite"	"5824_ID"
"5825"	"chr1"	186364122	186365908	"ENST00000598663.1"	"AL596220.1"	"-"	"protein_coding"	"chr1"	186344969	186390510	"ENST00000367470.8_2"	"ODR4"	"+"	"protein_coding"	1786	"opposite"	"5825_ID"
"5826"	"chr10"	75764894	75787673	"ENST00000416076.1_1"	"AL596247.1"	"+"	"lncRNA"	"chr10"	75754950	75879918	"ENST00000623461.3_1"	"VCL"	"+"	"processed_transcript"	22779	"same"	"5826_ID"
"5827"	"chr1"	162562892	162563544	"ENST00000609669.1_1"	"AL596325.2"	"+"	"lncRNA"	"chr1"	162531295	162569632	"ENST00000271469.7_5"	"UAP1"	"+"	"protein_coding"	652	"same"	"5827_ID"
"5828"	"chr1"	224890973	224900551	"ENST00000652162.1_3"	"AL596330.1"	"-"	"lncRNA"	"chr1"	224716892	224927323	"ENST00000498382.5_1"	"CNIH3"	"+"	"processed_transcript"	19270	"opposite"	"5828_ID"
"5829"	"chr9"	8936078	8963077	"ENST00000419824.1_1"	"AL596451.1"	"+"	"lncRNA"	"chr9"	8528151	10612723	"ENST00000463477.5_3"	"PTPRD"	"-"	"protein_coding"	26999	"opposite"	"5829_ID"
"5830"	"chr10"	35732338	35733497	"ENST00000659071.1_3"	"AL603824.1"	"-"	"lncRNA"	"chr10"	35535952	35860852	"ENST00000374706.5_1"	"CCNY"	"+"	"protein_coding"	1159	"opposite"	"5830_ID"
"5831"	"chr10"	323123	323248	"ENST00000579524.1"	"AL603831.1"	"+"	"miRNA"	"chr10"	320140	735608	"ENST00000280886.12_4"	"DIP2C"	"-"	"protein_coding"	125	"opposite"	"5831_ID"
"5832"	"chr1"	113236309	113239243	"ENST00000421943.1_3"	"AL603832.1"	"-"	"lncRNA"	"chr1"	113217042	113243368	"ENST00000413052.6_1"	"MOV10"	"+"	"protein_coding"	2934	"opposite"	"5832_ID"
"5833"	"chr1"	40980132	40980729	"ENST00000453437.1_3"	"AL603839.1"	"-"	"lncRNA"	"chr1"	40974432	40982228	"ENST00000296380.8_1"	"EXO5"	"+"	"protein_coding"	597	"opposite"	"5833_ID"
"5834"	"chr6"	74186780	74186865	"ENST00000580608.1"	"AL603910.1"	"+"	"miRNA"	"chr6"	74171459	74218959	"ENST00000498286.6_4"	"MTO1"	"+"	"protein_coding"	85	"same"	"5834_ID"
"5835"	"chr1"	10043198	10044626	"ENST00000413148.1_1"	"AL603962.1"	"+"	"lncRNA"	"chr1"	10003532	10045556	"ENST00000377205.6_2"	"NMNAT1"	"+"	"protein_coding"	1428	"same"	"5835_ID"
"5836"	"chr1"	46160355	46162747	"ENST00000430643.1_3"	"AL604028.1"	"-"	"lncRNA"	"chr1"	46159995	46216322	"ENST00000359942.8_3"	"IPP"	"-"	"protein_coding"	2392	"same"	"5836_ID"
"5837"	"chr1"	243299199	243303890	"ENST00000439562.1_1"	"AL606534.1"	"+"	"lncRNA"	"chr1"	243287729	243418623	"ENST00000366543.5_6"	"CEP170"	"-"	"protein_coding"	4691	"opposite"	"5837_ID"
"5838"	"chr1"	243327939	243332747	"ENST00000437499.1_1"	"AL606534.2"	"+"	"lncRNA"	"chr1"	243287729	243418623	"ENST00000366543.5_6"	"CEP170"	"-"	"protein_coding"	4808	"opposite"	"5838_ID"
"5839"	"chr1"	214202233	214204244	"ENST00000607258.2_1"	"AL606537.1"	"-"	"lncRNA"	"chr1"	214161277	214214845	"ENST00000498508.6_1"	"PROX1"	"+"	"protein_coding"	2011	"opposite"	"5839_ID"
"5840"	"chrX"	38080643	38082920	"ENST00000423919.1_1"	"AL606748.1"	"+"	"lncRNA"	"chrX"	37208582	38546928	"ENST00000465127.1_1"	"AF241726.1"	"+"	"protein_coding"	2277	"same"	"5840_ID"
"5841"	"chr1"	53675454	53679144	"ENST00000629810.1_5"	"AL606760.2"	"-"	"lncRNA"	"chr1"	53662463	53679850	"ENST00000636867.1_2"	"CPT2"	"+"	"protein_coding"	3993	"opposite"	"5841_ID"
"5842"	"chr14"	51129228	51129896	"ENST00000602954.1_1"	"AL606834.1"	"-"	"lncRNA"	"chr14"	51100297	51135024	"ENST00000324679.5_4"	"SAV1"	"-"	"protein_coding"	668	"same"	"5842_ID"
"5843"	"chr14"	51190494	51190990	"ENST00000602615.1_1"	"AL606834.2"	"-"	"lncRNA"	"chr14"	51186480	51297880	"ENST00000530997.7_6"	"NIN"	"-"	"protein_coding"	496	"same"	"5843_ID"
"5844"	"chr6"	69203330	69203418	"ENST00000585220.1"	"AL606923.1"	"+"	"miRNA"	"chr6"	69041910	69286083	"ENST00000654495.1_3"	"AL606923.2"	"-"	"lncRNA"	88	"opposite"	"5844_ID"
"5845"	"chr6"	168698748	168702794	"ENST00000445442.2_3"	"AL606970.1"	"-"	"lncRNA"	"chr6"	168693509	168720434	"ENST00000366796.7_4"	"DACT2"	"-"	"protein_coding"	4046	"same"	"5845_ID"
"5846"	"chr10"	15279490	15283766	"ENST00000433455.1_2"	"AL607028.1"	"+"	"lncRNA"	"chr10"	15253641	15413288	"ENST00000378116.9_4"	"FAM171A1"	"-"	"protein_coding"	4276	"opposite"	"5846_ID"
"5847"	"chr1"	23075309	23075404	"ENST00000401338.2"	"AL611946.1"	"-"	"miRNA"	"chr1"	23037331	23247993	"ENST00000374630.8_3"	"EPHB2"	"+"	"protein_coding"	95	"opposite"	"5847_ID"
"5848"	"chr9"	44990764	44991061	"ENST00000612308.2_3"	"AL627230.1"	"-"	"protein_coding"	"chr9"	44990308	45212569	"ENST00000653087.1_1"	"FAM27C"	"+"	"lncRNA"	297	"opposite"	"5848_ID"
"5849"	"chr9"	44997999	44998719	"ENST00000651525.1_3"	"AL627230.3"	"-"	"protein_coding"	"chr9"	44997776	44999352	"ENST00000605259.2_2"	"AL391987.2"	"+"	"protein_coding"	720	"opposite"	"5849_ID"
"5850"	"chr9"	44997999	44998719	"ENST00000651525.1_3"	"AL627230.3"	"-"	"protein_coding"	"chr9"	44992765	45233072	"ENST00000650759.1_1"	"FAM27C"	"+"	"lncRNA"	720	"opposite"	"5850_ID"
"5851"	"chr13"	33860002	33864698	"ENST00000660406.1_1"	"AL627232.1"	"+"	"lncRNA"	"chr13"	33701566	33924767	"ENST00000567873.1_3"	"STARD13"	"-"	"protein_coding"	4696	"opposite"	"5851_ID"
"5852"	"chr1"	227468149	227469668	"ENST00000657898.1_1"	"AL627308.3"	"+"	"lncRNA"	"chr1"	227177565	227506175	"ENST00000366769.7_5"	"CDC42BPA"	"-"	"protein_coding"	1519	"opposite"	"5852_ID"
"5853"	"chr1"	89550	91105	"ENST00000495576.1_3"	"AL627309.3"	"-"	"lncRNA"	"chr1"	89294	120932	"ENST00000466430.5_3"	"AL627309.1"	"-"	"lncRNA"	1555	"same"	"5853_ID"
"5854"	"chr1"	160445	161525	"ENST00000496488.1_3"	"AL627309.4"	"+"	"lncRNA"	"chr1"	146385	173862	"ENST00000466557.6_3"	"AL627309.5"	"-"	"lncRNA"	1080	"opposite"	"5854_ID"
"5855"	"chr1"	201692421	201706634	"ENST00000429443.1_3"	"AL645504.1"	"-"	"lncRNA"	"chr1"	201592054	201792472	"ENST00000367302.5_3"	"NAV1"	"+"	"protein_coding"	14213	"opposite"	"5855_ID"
"5856"	"chr1"	201692421	201706634	"ENST00000429443.1_3"	"AL645504.1"	"-"	"lncRNA"	"chr1"	201657386	201798687	"ENST00000413035.5_3"	"IPO9-AS1"	"-"	"lncRNA"	14213	"same"	"5856_ID"
"5857"	"chr1"	49391692	49402406	"ENST00000663662.1_1"	"AL645507.1"	"+"	"lncRNA"	"chr1"	48998525	50489626	"ENST00000371839.6_6"	"AGBL4"	"-"	"protein_coding"	10714	"opposite"	"5857_ID"
"5858"	"chr1"	947376	948573	"ENST00000458555.1_3"	"AL645608.1"	"-"	"lncRNA"	"chr1"	936517	949920	"ENST00000624697.4_5"	"ISG15"	"+"	"protein_coding"	1197	"opposite"	"5858_ID"
"5859"	"chr1"	846814	850328	"ENST00000448179.1_1"	"AL645608.2"	"+"	"lncRNA"	"chr1"	840213	851356	"ENST00000607769.1_1"	"AL645608.6"	"+"	"lncRNA"	3514	"same"	"5859_ID"
"5860"	"chr1"	849550	850351	"ENST00000398216.2_1"	"AL645608.4"	"+"	"lncRNA"	"chr1"	840213	851356	"ENST00000607769.1_1"	"AL645608.6"	"+"	"lncRNA"	801	"same"	"5860_ID"
"5861"	"chr10"	44161115	44162453	"ENST00000418426.1_1"	"AL645634.1"	"+"	"lncRNA"	"chr10"	44124264	44170151	"ENST00000458063.1_1"	"ZNF32-AS3"	"+"	"lncRNA"	1338	"same"	"5861_ID"
"5862"	"chr10"	44126329	44127012	"ENST00000431956.1_3"	"AL645634.2"	"-"	"lncRNA"	"chr10"	44124264	44170151	"ENST00000458063.1_1"	"ZNF32-AS3"	"+"	"lncRNA"	683	"opposite"	"5862_ID"
"5863"	"chr1"	50447886	50447967	"ENST00000408819.1"	"AL645730.1"	"+"	"miRNA"	"chr1"	48998525	50489626	"ENST00000371839.6_6"	"AGBL4"	"-"	"protein_coding"	81	"opposite"	"5863_ID"
"5864"	"chr1"	50459989	50461874	"ENST00000448346.1"	"AL645730.2"	"+"	"protein_coding"	"chr1"	48998525	50489626	"ENST00000371839.6_6"	"AGBL4"	"-"	"protein_coding"	1885	"opposite"	"5864_ID"
"5865"	"chr9"	137662496	137667517	"ENST00000666389.1_4"	"AL645768.1"	"-"	"lncRNA"	"chr9"	137533648	137736689	"ENST00000371817.8_2"	"COL5A1"	"+"	"protein_coding"	5021	"opposite"	"5865_ID"
"5866"	"chr1"	29580053	29580195	"ENST00000408623.1"	"AL645859.1"	"-"	"miRNA"	"chr1"	29563033	29653312	"ENST00000373779.8_4"	"PTPRU"	"+"	"protein_coding"	142	"opposite"	"5866_ID"
"5867"	"chr4"	2465523	2465851	"ENST00000502641.1_1"	"AL645924.1"	"+"	"lncRNA"	"chr4"	2463946	2498739	"ENST00000503659.5_3"	"RNF4"	"+"	"protein_coding"	328	"same"	"5867_ID"
"5868"	"chr6"	32939841	32940630	"ENST00000580587.1_3"	"AL645941.3"	"-"	"lncRNA"	"chr6"	32936370	32949278	"ENST00000374825.9_3"	"BRD2"	"+"	"protein_coding"	789	"opposite"	"5868_ID"
"5869"	"chr6"	68765242	68770394	"ENST00000449928.1_1"	"AL646090.1"	"+"	"lncRNA"	"chr6"	68750602	68802893	"ENST00000662357.1_1"	"AL646090.2"	"+"	"lncRNA"	5152	"same"	"5869_ID"
"5870"	"chr6"	30690881	30691654	"ENST00000607476.1_1"	"AL662797.1"	"-"	"lncRNA"	"chr6"	30688128	30693199	"ENST00000327892.13_2"	"TUBB"	"+"	"protein_coding"	773	"opposite"	"5870_ID"
"5871"	"chr6"	30584005	30584082	"ENST00000410962.1"	"AL662800.1"	"-"	"miRNA"	"chr6"	30568189	30585020	"ENST00000376511.7_4"	"PPP1R10"	"-"	"protein_coding"	77	"same"	"5871_ID"
"5872"	"chr6"	30616442	30616536	"ENST00000583820.1"	"AL662800.2"	"+"	"miRNA"	"chr6"	30614815	30620986	"ENST00000293604.10_2"	"C6orf136"	"+"	"protein_coding"	94	"same"	"5872_ID"
"5873"	"chr6"	31167941	31169695	"ENST00000606909.1_3"	"AL662844.3"	"-"	"lncRNA"	"chr6"	31165536	31171745	"ENST00000383331.4_3"	"HCG27"	"+"	"lncRNA"	1754	"opposite"	"5873_ID"
"5874"	"chr6"	32120578	32122142	"ENST00000498575.1_4"	"AL662884.3"	"-"	"lncRNA"	"chr6"	32118271	32122150	"ENST00000428778.5_4"	"AL662884.4"	"-"	"protein_coding"	1564	"same"	"5874_ID"
"5875"	"chr6"	32076182	32080626	"ENST00000656765.1_1"	"AL662884.5"	"+"	"lncRNA"	"chr6"	32065952	32085387	"ENST00000494022.1_4"	"AL662884.2"	"-"	"lncRNA"	4444	"opposite"	"5875_ID"
"5876"	"chr6"	32076182	32080626	"ENST00000656765.1_1"	"AL662884.5"	"+"	"lncRNA"	"chr6"	32065952	32083111	"ENST00000442721.1_4"	"TNXB"	"-"	"protein_coding"	4444	"opposite"	"5876_ID"
"5877"	"chr1"	243866158	243904123	"ENST00000453572.1_3"	"AL662889.1"	"-"	"lncRNA"	"chr1"	243651534	244006538	"ENST00000336199.9_4"	"AKT3"	"-"	"protein_coding"	37965	"same"	"5877_ID"
"5878"	"chr10"	483500	487110	"ENST00000425723.2_1"	"AL669841.1"	"+"	"lncRNA"	"chr10"	320140	735608	"ENST00000280886.12_4"	"DIP2C"	"-"	"protein_coding"	3610	"opposite"	"5878_ID"
"5879"	"chr1"	228581990	228584668	"ENST00000602963.1_1"	"AL670729.1"	"+"	"lncRNA"	"chr1"	228581376	228594536	"ENST00000284551.11_4"	"TRIM11"	"-"	"protein_coding"	2678	"opposite"	"5879_ID"
"5880"	"chr1"	228544712	228556255	"ENST00000653257.1_3"	"AL670729.3"	"-"	"lncRNA"	"chr1"	228395744	228566577	"ENST00000570156.7_5"	"OBSCN"	"+"	"protein_coding"	11543	"opposite"	"5880_ID"
"5881"	"chr22"	50295875	50298224	"ENST00000610245.1_1"	"AL671710.1"	"+"	"lncRNA"	"chr22"	50293876	50312086	"ENST00000330817.11_4"	"ALG12"	"-"	"protein_coding"	2349	"opposite"	"5881_ID"
"5882"	"chr6"	31342094	31342180	"ENST00000578513.1"	"AL671883.1"	"-"	"miRNA"	"chr6"	31334833	31343865	"ENST00000649421.1_1"	"AL671883.3"	"+"	"lncRNA"	86	"opposite"	"5882_ID"
"5883"	"chrX"	133733486	133740284	"ENST00000440614.1_1"	"AL672032.1"	"+"	"lncRNA"	"chrX"	133700539	133898293	"ENST00000473897.1_3"	"PLAC1"	"-"	"processed_transcript"	6798	"opposite"	"5883_ID"
"5884"	"chr1"	96208651	96225026	"ENST00000603401.1_1"	"AL683887.1"	"+"	"lncRNA"	"chr1"	95975722	96247898	"ENST00000456933.1_1"	"LINC02607"	"+"	"lncRNA"	16375	"same"	"5884_ID"
"5885"	"chr1"	207688629	207688688	"ENST00000517235.1"	"AL691452.1"	"+"	"miRNA"	"chr1"	207669491	207815110	"ENST00000400960.7_4"	"CR1"	"+"	"protein_coding"	59	"same"	"5885_ID"
"5886"	"chr1"	48226803	48231219	"ENST00000438589.1_3"	"AL691459.1"	"-"	"lncRNA"	"chr1"	48226199	48463057	"ENST00000606738.3_4"	"TRABD2B"	"-"	"protein_coding"	4416	"same"	"5886_ID"
"5887"	"chr1"	201980497	201984785	"ENST00000504773.1_1"	"AL691482.3"	"+"	"lncRNA"	"chr1"	201977072	201985137	"ENST00000359651.7_1"	"ELF3"	"+"	"protein_coding"	4288	"same"	"5887_ID"
"5888"	"chr1"	3800627	3800697	"ENST00000579705.1"	"AL691523.1"	"+"	"miRNA"	"chr1"	3773830	3801984	"ENST00000338895.7_2"	"DFFB"	"+"	"protein_coding"	70	"same"	"5888_ID"
"5889"	"chr10"	2541912	2542762	"ENST00000431209.1_1"	"AL713851.2"	"+"	"lncRNA"	"chr10"	2410754	2544364	"ENST00000666064.1_3"	"LINC02645"	"-"	"lncRNA"	850	"opposite"	"5889_ID"
"5890"	"chr1"	184633415	184637669	"ENST00000658878.1_1"	"AL713852.2"	"+"	"lncRNA"	"chr1"	184576732	184638737	"ENST00000660403.1_3"	"AL713852.1"	"-"	"lncRNA"	4254	"opposite"	"5890_ID"
"5891"	"chr1"	205904255	205904896	"ENST00000421166.1_1"	"AL713965.1"	"+"	"lncRNA"	"chr1"	205882181	205912588	"ENST00000367134.2_5"	"SLC26A9"	"-"	"protein_coding"	641	"opposite"	"5891_ID"
"5892"	"chr1"	155206539	155206628	"ENST00000401290.1"	"AL713999.1"	"-"	"miRNA"	"chr1"	155204242	155214461	"ENST00000327247.9_3"	"GBA"	"-"	"protein_coding"	89	"same"	"5892_ID"
"5893"	"chr10"	52822338	52828313	"ENST00000343087.4_3"	"AL731537.1"	"-"	"lncRNA"	"chr10"	52750647	54058110	"ENST00000401604.8_6"	"PRKG1"	"+"	"protein_coding"	5975	"opposite"	"5893_ID"
"5894"	"chr10"	12605149	12609350	"ENST00000648650.1_1"	"AL731559.1"	"+"	"lncRNA"	"chr10"	12391545	12877545	"ENST00000619168.5_4"	"CAMK1D"	"+"	"protein_coding"	4201	"same"	"5894_ID"
"5895"	"chr10"	48387523	48387622	"ENST00000581861.1"	"AL731561.2"	"+"	"miRNA"	"chr10"	48381480	48390999	"ENST00000584701.2_4"	"RBP3"	"-"	"protein_coding"	99	"opposite"	"5895_ID"
"5896"	"chr10"	74831052	74833766	"ENST00000431293.2_1"	"AL731563.2"	"+"	"lncRNA"	"chr10"	74766981	74856732	"ENST00000263556.3_3"	"P4HA1"	"-"	"protein_coding"	2714	"opposite"	"5896_ID"
"5897"	"chr10"	123725278	123727215	"ENST00000620490.1_1"	"AL731566.2"	"+"	"lncRNA"	"chr10"	123716605	123734732	"ENST00000369023.8_4"	"NSMCE4A"	"-"	"protein_coding"	1937	"opposite"	"5897_ID"
"5898"	"chr10"	77502497	77503513	"ENST00000445111.1_1"	"AL731568.1"	"+"	"lncRNA"	"chr10"	77191381	78319926	"ENST00000611255.5_5"	"LRMDA"	"+"	"protein_coding"	81039	"same"	"5898_ID"
"5899"	"chr10"	126684632	126690060	"ENST00000617058.1_2"	"AL731571.1"	"+"	"lncRNA"	"chr10"	126672885	126849082	"ENST00000337195.9_3"	"CTBP2"	"-"	"protein_coding"	5428	"opposite"	"5899_ID"
"5900"	"chr10"	79073698	79075452	"ENST00000413564.1_1"	"AL731575.1"	"+"	"lncRNA"	"chr10"	78629359	79397577	"ENST00000638991.1_4"	"KCNMA1"	"-"	"protein_coding"	1754	"opposite"	"5900_ID"
"5901"	"chr10"	126633772	126635001	"ENST00000449984.1_3"	"AL731577.1"	"-"	"lncRNA"	"chr10"	126630691	126676758	"ENST00000359653.4_2"	"ZRANB1"	"+"	"protein_coding"	1229	"opposite"	"5901_ID"
"5902"	"chr6"	171004400	171006038	"ENST00000448824.1_1"	"AL731661.1"	"+"	"lncRNA"	"chr6"	170924602	171037581	"ENST00000656791.1_3"	"AL672310.1"	"+"	"lncRNA"	1638	"same"	"5902_ID"
"5903"	"chr6"	171045260	171046865	"ENST00000415530.1_3"	"AL731684.1"	"-"	"lncRNA"	"chr6"	170936390	171047291	"ENST00000426839.2_4"	"AL672310.1"	"+"	"lncRNA"	1605	"opposite"	"5903_ID"
"5904"	"chr10"	135402417	135402917	"ENST00000669879.1_1"	"AL731769.1"	"+"	"lncRNA"	"chr10"	135379362	135443011	"ENST00000655152.1_1"	"AL731769.2"	"+"	"lncRNA"	500	"same"	"5904_ID"
"5905"	"chr9"	108823634	108827106	"ENST00000445897.2_3"	"AL732323.1"	"-"	"lncRNA"	"chr9"	108755590	109464943	"ENST00000637185.1_2"	"LINC01505"	"+"	"lncRNA"	3472	"opposite"	"5905_ID"
"5906"	"chr10"	5566938	5567705	"ENST00000442008.2_3"	"AL732437.1"	"-"	"lncRNA"	"chr10"	5566923	5568734	"ENST00000315238.3_2"	"CALML3"	"+"	"protein_coding"	767	"opposite"	"5906_ID"
"5907"	"chr10"	5566938	5567705	"ENST00000442008.2_3"	"AL732437.1"	"-"	"lncRNA"	"chr10"	5559008	5568008	"ENST00000651240.1_3"	"CALML3-AS1"	"-"	"lncRNA"	767	"same"	"5907_ID"
"5908"	"chr10"	88062582	88062678	"ENST00000459197.1"	"AL732479.1"	"-"	"miRNA"	"chr10"	87359308	88126552	"ENST00000327946.12_4"	"GRID1"	"-"	"protein_coding"	96	"same"	"5908_ID"
"5909"	"chr9"	139957986	139959033	"ENST00000456356.2_1"	"AL807752.3"	"+"	"lncRNA"	"chr9"	139956578	139965009	"ENST00000409687.5_4"	"SAPCD2"	"-"	"protein_coding"	1047	"opposite"	"5909_ID"
"5910"	"chr9"	139947113	139947827	"ENST00000439076.2_1"	"AL807752.4"	"+"	"lncRNA"	"chr9"	139942558	139948513	"ENST00000355097.7_5"	"ENTPD2"	"-"	"protein_coding"	714	"opposite"	"5910_ID"
"5911"	"chr9"	97586553	97587055	"ENST00000437846.1_1"	"AL807757.1"	"+"	"lncRNA"	"chr9"	97488885	97849441	"ENST00000375315.7_2"	"AOPEP"	"+"	"protein_coding"	502	"same"	"5911_ID"
"5912"	"chr9"	97662710	97667036	"ENST00000416455.1_1"	"AL807757.2"	"+"	"lncRNA"	"chr9"	97488885	97849441	"ENST00000375315.7_2"	"AOPEP"	"+"	"protein_coding"	4326	"same"	"5912_ID"
"5913"	"chr1"	161403233	161410786	"ENST00000636824.1_3"	"AL831711.1"	"-"	"lncRNA"	"chr1"	161373198	161440313	"ENST00000637155.1_3"	"AL592295.3"	"-"	"lncRNA"	7553	"same"	"5913_ID"
"5914"	"chr1"	231124734	231124869	"ENST00000516322.1"	"AL844165.1"	"-"	"miRNA"	"chr1"	231114839	231136479	"ENST00000310256.7_3"	"ARV1"	"+"	"protein_coding"	135	"opposite"	"5914_ID"
"5915"	"chr21"	46356217	46356869	"ENST00000609953.1_1"	"AL844908.1"	"+"	"lncRNA"	"chr21"	46352728	46359828	"ENST00000397841.5_4"	"LINC01547"	"-"	"lncRNA"	652	"opposite"	"5915_ID"
"5916"	"chr21"	46349567	46350027	"ENST00000609461.1_1"	"AL844908.2"	"-"	"lncRNA"	"chr21"	46330198	46351904	"ENST00000521995.1_5"	"ITGB2"	"-"	"protein_coding"	460	"same"	"5916_ID"
"5917"	"chr14"	101005275	101006746	"ENST00000553301.1_1"	"AL845552.2"	"+"	"lncRNA"	"chr14"	101003485	101044289	"ENST00000637716.1_5"	"BEGAIN"	"-"	"protein_coding"	1471	"opposite"	"5917_ID"
"5918"	"chr14"	105883220	105886076	"ENST00000551271.5_3"	"AL928654.1"	"-"	"lncRNA"	"chr14"	105864915	105916443	"ENST00000548638.5_1"	"TEX22"	"+"	"nonsense_mediated_decay"	2856	"opposite"	"5918_ID"
"5919"	"chr14"	105934129	105936954	"ENST00000552675.1_3"	"AL928654.2"	"-"	"lncRNA"	"chr14"	105886156	105937064	"ENST00000435036.6_1"	"MTA1"	"+"	"protein_coding"	2825	"opposite"	"5919_ID"
"5920"	"chrX"	21581189	21581281	"ENST00000579338.1"	"AL928874.1"	"+"	"miRNA"	"chrX"	21392535	21672813	"ENST00000425654.7_4"	"CNKSR2"	"+"	"protein_coding"	92	"same"	"5920_ID"
"5921"	"chr1"	38292231	38293886	"ENST00000448796.1"	"AL929472.1"	"-"	"protein_coding"	"chr1"	38275245	38325264	"ENST00000373036.5_4"	"MTF1"	"-"	"protein_coding"	1655	"same"	"5921_ID"
"5922"	"chr1"	38265391	38266551	"ENST00000433474.1_3"	"AL929472.3"	"-"	"lncRNA"	"chr1"	38259473	38266805	"ENST00000373045.10_1"	"MANEAL"	"+"	"protein_coding"	1160	"opposite"	"5922_ID"
"5923"	"chr14"	19563121	19566680	"ENST00000613990.1_3"	"AL929601.3"	"-"	"lncRNA"	"chr14"	19553364	19589682	"ENST00000547889.6_3"	"POTEM"	"+"	"protein_coding"	3559	"opposite"	"5923_ID"
"5924"	"chr22"	49210131	49210216	"ENST00000516103.1"	"AL954742.1"	"-"	"miRNA"	"chr22"	48885403	49246724	"ENST00000336769.9_1"	"TAFA5"	"+"	"protein_coding"	85	"opposite"	"5924_ID"
"5925"	"chr3"	125822482	125826912	"ENST00000512384.1_1"	"ALDH1L1-AS1"	"+"	"lncRNA"	"chr3"	125822411	125900029	"ENST00000273450.7_3"	"ALDH1L1"	"-"	"protein_coding"	4430	"opposite"	"5925_ID"
"5926"	"chr1"	19197923	19229049	"ENST00000375341.8_4"	"ALDH4A1"	"-"	"protein_coding"	"chr1"	19175766	19247615	"ENST00000494072.3"	"RP13-279N23.2"	"-"	"nonsense_mediated_decay"	31295	"same"	"5926_ID"
"5927"	"chr17"	26900132	26903966	"ENST00000395321.6_3"	"ALDOC"	"-"	"protein_coding"	"chr17"	26782769	26941201	"ENST00000481916.6_3"	"AC005726.1"	"-"	"nonsense_mediated_decay"	3834	"same"	"5927_ID"
"5928"	"chr12"	34175402	34182629	"ENST00000538927.1_1"	"ALG10"	"+"	"protein_coding"	"chr12"	34175215	34199352	"ENST00000501954.2_3"	"AC046130.1"	"-"	"lncRNA"	7227	"opposite"	"5928_ID"
"5929"	"chrX"	110949876	110954329	"ENST00000430794.1_3"	"ALG13-AS1"	"-"	"lncRNA"	"chrX"	110924397	111003877	"ENST00000394780.8_3"	"ALG13"	"+"	"protein_coding"	4453	"opposite"	"5929_ID"
"5930"	"chr1"	95527151	95533101	"ENST00000451611.1_1"	"ALG14-AS1"	"+"	"lncRNA"	"chr1"	95439960	95538507	"ENST00000370205.6_4"	"ALG14"	"-"	"protein_coding"	5950	"opposite"	"5930_ID"
"5931"	"chr11"	111687937	111699936	"ENST00000531305.1_3"	"ALG9-IT1"	"-"	"lncRNA"	"chr11"	111652918	111742305	"ENST00000616540.5_5"	"ALG9"	"-"	"protein_coding"	11999	"same"	"5931_ID"
"5932"	"chr11"	111687937	111699936	"ENST00000531305.1_3"	"ALG9-IT1"	"-"	"lncRNA"	"chr11"	111657009	111750149	"ENST00000622211.4_4"	"AP001781.2"	"-"	"protein_coding"	11999	"same"	"5932_ID"
"5933"	"chr2"	73683890	73686609	"ENST00000441587.3_2"	"ALMS1-IT1"	"+"	"lncRNA"	"chr2"	73612963	73837043	"ENST00000613296.6_5"	"ALMS1"	"+"	"protein_coding"	2719	"same"	"5933_ID"
"5934"	"chr17"	6899367	6914073	"ENST00000251535.11_2"	"ALOX12"	"+"	"protein_coding"	"chr17"	6888812	6922733	"ENST00000572547.1_3"	"AC040977.2"	"-"	"lncRNA"	14706	"opposite"	"5934_ID"
"5935"	"chr17"	6899367	6914073	"ENST00000251535.11_2"	"ALOX12"	"+"	"protein_coding"	"chr17"	6778550	6915653	"ENST00000653385.1_3"	"ALOX12-AS1"	"-"	"lncRNA"	14706	"opposite"	"5935_ID"
"5936"	"chr1"	110602491	110613294	"ENST00000647563.2_5"	"ALX3"	"-"	"protein_coding"	"chr1"	110583792	110617263	"ENST00000473429.5_1"	"STRIP1"	"+"	"retained_intron"	10803	"opposite"	"5936_ID"
"5937"	"chrX"	11311532	11318881	"ENST00000380712.7_1"	"AMELX"	"+"	"protein_coding"	"chrX"	11155663	11684040	"ENST00000337414.9_4"	"ARHGAP6"	"-"	"protein_coding"	7349	"opposite"	"5937_ID"
