"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"3985"	"ENST00000410845.1"	"ENST00000559663.1"	"chr17"	37702356	37702497	"RNU6-233P"	"-"	"snRNA"	"chr17"	37682119	37707394	"CDK12"	"+"	"nonsense_mediated_decay"	141	"opposite"	"11089_ID"	"Cdk12"	"Gm22056"
"3986"	"ENST00000410856.1"	"ENST00000524974.5"	"chr1"	144944671	144944750	"RNU2-38P"	"+"	"snRNA"	"chr1"	144851487	145075901	"PDE4DIP"	"-"	"protein_coding"	79	"opposite"	"10635_ID"	"Pde4dip"	"Gm25007"
"3990"	"ENST00000410876.1"	"ENST00000392476.6"	"chr17"	75148642	75148756	"RNU4-47P"	"-"	"snRNA"	"chr17"	75084830	75212884	"SEC14L1"	"+"	"protein_coding"	114	"opposite"	"10684_ID"	"Sec14l1"	"Gm22985"
"3994"	"ENST00000410912.1"	"ENST00000298282.14"	"chr11"	125147447	125147553	"RNU6-321P"	"+"	"snRNA"	"chr11"	125034646	125303285	"PKNOX2"	"+"	"protein_coding"	106	"same"	"11153_ID"	"Pknox2"	"Gm23656"
"4002"	"ENST00000410940.1"	"ENST00000487159.5"	"chr3"	42263331	42263457	"RNU4-78P"	"+"	"snRNA"	"chr3"	42055293	42267381	"TRAK1"	"+"	"protein_coding"	126	"same"	"10705_ID"	"Trak1"	"U4"
"4004"	"ENST00000410957.1"	"ENST00000260126.9"	"chr8"	70612458	70612730	"RN7SKP29"	"+"	"misc_RNA"	"chr8"	70579280	70747213	"SLCO5A1"	"-"	"protein_coding"	272	"opposite"	"9882_ID"	"Slco5a1"	"7SK"
"4010"	"ENST00000411000.1"	"ENST00000299314.12"	"chr12"	102190187	102190280	"RNU6-172P"	"-"	"snRNA"	"chr12"	102139276	102224737	"GNPTAB"	"-"	"protein_coding"	93	"same"	"11049_ID"	"Gnptab"	"Gm25416"
"4011"	"ENST00000411000.1"	"ENST00000299314.12"	"chr12"	102190187	102190280	"RNU6-172P"	"-"	"snRNA"	"chr12"	102139276	102224737	"GNPTAB"	"-"	"protein_coding"	93	"same"	"11049_ID"	"Gnptab"	"U6"
"4016"	"ENST00000411028.1"	"ENST00000502271.5"	"chr5"	53207849	53207953	"RNU6-272P"	"-"	"snRNA"	"chr5"	53179774	53606412	"ARL15"	"-"	"protein_coding"	104	"same"	"11120_ID"	"Arl15"	"Gm25039"
"4023"	"ENST00000411054.1"	"ENST00000602567.1"	"chr1"	231806380	231806496	"RNU5A-5P"	"+"	"snRNA"	"chr1"	231664398	231954990	"TSNAX-DISC1"	"+"	"nonsense_mediated_decay"	116	"same"	"10736_ID"	"Tsnax"	"Gm23102"
"4024"	"ENST00000411054.1"	"ENST00000439617.8"	"chr1"	231806380	231806496	"RNU5A-5P"	"+"	"snRNA"	"chr1"	231762535	232177018	"DISC1"	"+"	"protein_coding"	116	"same"	"10737_ID"	"Disc1"	"Gm23102"
"4033"	"ENST00000411107.1"	"ENST00000402676.7"	"chr6"	151640769	151641085	"RN7SKP268"	"+"	"misc_RNA"	"chr6"	151561101	151679694	"AKAP12"	"+"	"protein_coding"	316	"same"	"9867_ID"	"Akap12"	"7SK"
"4048"	"ENST00000411175.1"	"ENST00000357917.4"	"chr10"	62672522	62672685	"RNU2-72P"	"-"	"snRNA"	"chr10"	62629195	62761198	"RHOBTB1"	"-"	"protein_coding"	163	"same"	"10657_ID"	"Rhobtb1"	"Gm23744"
"4050"	"ENST00000411185.1"	"ENST00000317757.7"	"chr3"	190359951	190360292	"RN7SKP296"	"+"	"misc_RNA"	"chr3"	190231890	190377539	"IL1RAP"	"+"	"protein_coding"	341	"same"	"9887_ID"	"Il1rap"	"7SK"
"4052"	"ENST00000411220.1"	"ENST00000329654.8"	"chr1"	66560143	66560229	"RNU4-88P"	"-"	"snRNA"	"chr1"	66258196	66839961	"PDE4B"	"+"	"protein_coding"	86	"opposite"	"10713_ID"	"Pde4b"	"Gm25806"
"4055"	"ENST00000411243.1"	"ENST00000396199.7"	"chr1"	48913607	48913714	"RNU4-61P"	"+"	"snRNA"	"chr1"	48761045	48937880	"SPATA6"	"-"	"protein_coding"	107	"opposite"	"10699_ID"	"Spata6"	"Gm24635"
"4063"	"ENST00000411292.1"	"ENST00000299980.9"	"chr16"	71792304	71792390	"SNORD71"	"-"	"snoRNA"	"chr16"	71762902	71842737	"AP1G1"	"-"	"protein_coding"	86	"same"	"12442_ID"	"Ap1g1"	"Snord71"
"4066"	"ENST00000411326.1"	"ENST00000395891.7"	"chr7"	43247360	43247465	"RNU6-575P"	"-"	"snRNA"	"chr7"	43152245	43605600	"HECW1"	"+"	"protein_coding"	105	"opposite"	"11348_ID"	"Hecw1"	"Gm26159"
"4067"	"ENST00000411331.1"	"ENST00000370994.8"	"chr1"	67882896	67883001	"RNU6-387P"	"+"	"snRNA"	"chr1"	67873492	67896098	"SERBP1"	"-"	"protein_coding"	105	"opposite"	"11200_ID"	"Serbp1"	"Gm24223"
"4068"	"ENST00000411337.1"	"ENST00000524871.6"	"chr11"	98990905	98991220	"RN7SKP53"	"+"	"misc_RNA"	"chr11"	98891678	100229616	"CNTN5"	"+"	"protein_coding"	315	"same"	"9904_ID"	"Cntn5"	"7SK"
"4069"	"ENST00000411348.1"	"ENST00000379406.8"	"chr13"	41928692	41928795	"RNU6-57P"	"-"	"snRNA"	"chr13"	41885402	41951166	"NAA16"	"+"	"protein_coding"	103	"opposite"	"11351_ID"	"Naa16"	"Gm23096"
"4080"	"ENST00000411381.1"	"ENST00000560305.5"	"chr15"	40821768	40821872	"RNU6-516P"	"+"	"snRNA"	"chr15"	40820881	40857210	"CCDC32"	"-"	"protein_coding"	104	"opposite"	"11302_ID"	"Ccdc32"	"Gm22597"
"4085"	"ENST00000411403.1"	"ENST00000442822.6"	"chr6"	32320653	32320760	"RNU6-603P"	"+"	"snRNA"	"chr6"	32256302	32339676	"TSBP1"	"-"	"protein_coding"	107	"opposite"	"11371_ID"	"BC051142"	"Gm22576"
"4163"	"ENST00000412731.5"	"ENST00000472748.5"	"chr2"	172778957	172848596	"HAT1"	"+"	"nonsense_mediated_decay"	"chr2"	172700878	172864762	"SLC25A12"	"-"	"processed_transcript"	69643	"opposite"	"7217_ID"	"Slc25a12"	"Hat1"
"4177"	"ENST00000413199.1"	"ENST00000495075.5"	"chr3"	138760943	138763734	"PRR23C"	"-"	"protein_coding"	"chr3"	138724647	139075888	"MRPS22"	"+"	"protein_coding"	2791	"opposite"	"9652_ID"	"Mrps22"	"Prr23a3"
"4178"	"ENST00000413199.1"	"ENST00000495075.5"	"chr3"	138760943	138763734	"PRR23C"	"-"	"protein_coding"	"chr3"	138724647	139075888	"MRPS22"	"+"	"protein_coding"	2791	"opposite"	"9652_ID"	"Mrps22"	"Prr23a1"
"4179"	"ENST00000413199.1"	"ENST00000495075.5"	"chr3"	138760943	138763734	"PRR23C"	"-"	"protein_coding"	"chr3"	138724647	139075888	"MRPS22"	"+"	"protein_coding"	2791	"opposite"	"9652_ID"	"Mrps22"	"Prr23a2"
"4180"	"ENST00000413199.1"	"ENST00000495075.5"	"chr3"	138760943	138763734	"PRR23C"	"-"	"protein_coding"	"chr3"	138724647	139075888	"MRPS22"	"+"	"protein_coding"	2791	"opposite"	"9652_ID"	"Mrps22"	"7420426K07Rik"
"4202"	"ENST00000413988.3"	"ENST00000587566.5"	"chr19"	45715627	45748665	"EXOC3L2"	"-"	"protein_coding"	"chr19"	45582545	45769504	"MARK4"	"+"	"protein_coding"	33038	"opposite"	"6945_ID"	"Mark4"	"Exoc3l2"
"4220"	"ENST00000414286.1"	"ENST00000378078.5"	"chr9"	35752988	35756610	"MSMP"	"-"	"processed_transcript"	"chr9"	35749283	35758582	"RGP1"	"+"	"protein_coding"	3624	"opposite"	"9177_ID"	"Rgp1"	"Msmp"
"4321"	"ENST00000416679.1"	"ENST00000371953.8"	"chr10"	89638448	89640184	"AC063965.2"	"+"	"lncRNA"	"chr10"	89623381	89731687	"PTEN"	"+"	"protein_coding"	1736	"same"	"2357_ID"	"Pten"	"Pten"
"4327"	"ENST00000417012.5"	"ENST00000466387.5"	"chr2"	80515475	80531518	"LRRTM1"	"-"	"nonsense_mediated_decay"	"chr2"	79412356	80875904	"CTNNA2"	"+"	"protein_coding"	16402	"opposite"	"7872_ID"	"Ctnna2"	"Lrrtm1"
"4339"	"ENST00000417353.6"	"ENST00000423698.6"	"chr19"	45971252	45978436	"FOSB"	"+"	"protein_coding"	"chr19"	45910591	45982086	"ERCC1"	"-"	"protein_coding"	7185	"opposite"	"7057_ID"	"Ercc1"	"Fosb"
"4350"	"ENST00000417563.3"	"ENST00000648193.1"	"chr1"	173604476	173606269	"TEX50"	"+"	"protein_coding"	"chr1"	173565198	173638976	"AL139142.2"	"-"	"nonsense_mediated_decay"	1793	"opposite"	"12661_ID"	"Ankrd45"	"Tex50"
"4351"	"ENST00000417563.3"	"ENST00000333279.3"	"chr1"	173604476	173606269	"TEX50"	"+"	"protein_coding"	"chr1"	173577474	173638990	"ANKRD45"	"-"	"protein_coding"	1793	"opposite"	"12660_ID"	"Ankrd45"	"Tex50"
"4501"	"ENST00000421345.5"	"ENST00000393446.6"	"chr7"	116594444	116759773	"AC106873.8"	"+"	"protein_coding"	"chr7"	116593291	116870150	"ST7"	"+"	"protein_coding"	165329	"same"	"3670_ID"	"St7"	"St7"
"4505"	"ENST00000421415.5"	"ENST00000311841.7"	"chr1"	54638008	54665683	"CYB5RL"	"-"	"nonsense_mediated_decay"	"chr1"	54609064	54665746	"AL357673.1"	"-"	"nonsense_mediated_decay"	30386	"same"	"6750_ID"	"Cyb5rl"	"Cyb5rl"
"4556"	"ENST00000422537.6"	"ENST00000424491.5"	"chr2"	99778409	99797390	"MITD1"	"-"	"protein_coding"	"chr2"	99757947	99939196	"AC079447.1"	"+"	"nonsense_mediated_decay"	19632	"opposite"	"9141_ID"	"Mrpl30"	"Mitd1"
"4626"	"ENST00000424439.3"	"ENST00000293874.2"	"chr16"	617004	619495	"NHLRC4"	"+"	"protein_coding"	"chr16"	616994	624519	"PIGQ"	"+"	"protein_coding"	2491	"same"	"9260_ID"	"Pigq"	"Nhlrc4"
"4631"	"ENST00000424479.7"	"ENST00000529872.1"	"chr8"	38120647	38126742	"PLPP5"	"-"	"protein_coding"	"chr8"	38117590	38133076	"DDHD2"	"+"	"processed_transcript"	6114	"opposite"	"9585_ID"	"Ddhd2"	"Plpp5"
"4644"	"ENST00000424776.5"	"ENST00000317135.13"	"chrX"	114423972	114427431	"RBMXL3"	"+"	"protein_coding"	"chrX"	114345178	114468659	"LRCH2"	"-"	"protein_coding"	3459	"opposite"	"9721_ID"	"Lrch2"	"Rbmxl2"
"4646"	"ENST00000424834.6"	"ENST00000382141.4"	"chr13"	24553943	24881207	"SPATA13"	"+"	"protein_coding"	"chr13"	24553838	24895169	"AL359736.1"	"+"	"nonsense_mediated_decay"	327269	"same"	"12508_ID"	"Spata13"	"Spata13"
"4709"	"ENST00000426937.5"	"ENST00000451200.6"	"chr3"	42850974	42984284	"KRBOX1"	"+"	"protein_coding"	"chr3"	42850937	43073827	"AC092042.3"	"+"	"processed_transcript"	133310	"same"	"7465_ID"	"Zfp65"	"Zfp65"
"4770"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim12c"	"Trim75"
"4771"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim30a"	"Trim75"
"4772"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim30c"	"Trim75"
"4773"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim12a"	"Trim75"
"4774"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim30b"	"Trim75"
"4775"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim30d"	"Trim75"
"4776"	"ENST00000429063.5"	"ENST00000412903.1"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	47393	"opposite"	"12778_ID"	"Trim5"	"Trim75"
"4802"	"ENST00000429711.7"	"ENST00000454887.1"	"chr3"	12875983	12883064	"RPL32"	"-"	"protein_coding"	"chr3"	12868944	12913415	"CAND2"	"+"	"protein_coding"	7098	"opposite"	"11953_ID"	"Cand2"	"Rpl32"
"4813"	"ENST00000430070.7"	"ENST00000533507.5"	"chr11"	47593748	47600522	"KBTBD4"	"-"	"protein_coding"	"chr11"	47586887	47606113	"NDUFS3"	"+"	"processed_transcript"	6780	"opposite"	"7397_ID"	"Ndufs3"	"Kbtbd4"
"4847"	"ENST00000430805.6"	"ENST00000643064.1"	"chr13"	49063105	49107392	"RCBTB2"	"-"	"protein_coding"	"chr13"	48955385	49173572	"RB1"	"+"	"protein_coding"	44294	"opposite"	"9726_ID"	"Rb1"	"Rcbtb2"
"4913"	"ENST00000432707.1"	"ENST00000371380.8"	"chr10"	95868872	95880864	"AL139118.1"	"+"	"lncRNA"	"chr10"	95753687	96092580	"PLCE1"	"+"	"protein_coding"	11992	"same"	"5008_ID"	"Plce1"	"Plce1"
"4916"	"ENST00000432886.6"	"ENST00000465127.1"	"chrX"	38008588	38080177	"SRPX"	"-"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	71589	"opposite"	"12546_ID"	"Tspan7"	"Srpx"
"4917"	"ENST00000432901.4"	"ENST00000677174.1"	"chr20"	18118506	18123813	"PET117"	"+"	"protein_coding"	"chr20"	18117871	18168995	"KAT14"	"+"	"protein_coding"	5307	"same"	"9536_ID"	"Kat14"	"Pet117"
"4984"	"ENST00000434824.2"	"ENST00000313070.11"	"chr7"	122341721	122342976	"RNF148"	"-"	"protein_coding"	"chr7"	121958478	122526813	"CADPS2"	"-"	"protein_coding"	1255	"same"	"10542_ID"	"Cadps2"	"Rnf148"
"5007"	"ENST00000435323.5"	"ENST00000673740.1"	"chr21"	33784744	33887699	"EVA1C"	"+"	"nonsense_mediated_decay"	"chr21"	33774819	33976502	"CFAP298-TCP10L"	"-"	"nonsense_mediated_decay"	103394	"opposite"	"6942_ID"	"Cfap298"	"Eva1c"
"5073"	"ENST00000437102.1"	"ENST00000498111.5"	"chr3"	42897496	42917390	"CYP8B1"	"-"	"protein_coding"	"chr3"	42850953	42929466	"ACKR2"	"+"	"processed_transcript"	19894	"opposite"	"6759_ID"	"Ackr2"	"Cyp8b1"
"5074"	"ENST00000437102.1"	"ENST00000451200.6"	"chr3"	42897496	42917390	"CYP8B1"	"-"	"protein_coding"	"chr3"	42850937	43073827	"AC092042.3"	"+"	"processed_transcript"	19894	"opposite"	"6760_ID"	"Zfp65"	"Cyp8b1"
"5076"	"ENST00000437102.1"	"ENST00000426937.5"	"chr3"	42897496	42917390	"CYP8B1"	"-"	"protein_coding"	"chr3"	42850974	42984284	"KRBOX1"	"+"	"protein_coding"	19894	"opposite"	"6761_ID"	"Zfp65"	"Cyp8b1"
"5114"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim30d"	"Olfr656"
"5115"	"ENST00000438474.1"	"ENST00000429063.5"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5729437	5758319	"TRIM22"	"+"	"protein_coding"	963	"same"	"9452_ID"	"Trim75"	"Olfr656"
"5116"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim30c"	"Olfr656"
"5117"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim5"	"Olfr656"
"5118"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim12a"	"Olfr656"
"5119"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim30a"	"Olfr656"
"5120"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim30b"	"Olfr656"
"5121"	"ENST00000438474.1"	"ENST00000412903.1"	"chr11"	5747731	5748694	"OR52P1P"	"+"	"polymorphic_pseudogene"	"chr11"	5699549	5959849	"TRIM5"	"-"	"protein_coding"	963	"opposite"	"9451_ID"	"Trim12c"	"Olfr656"
"5135"	"ENST00000438828.4"	"ENST00000477723.1"	"chr2"	203776997	203852986	"CARF"	"+"	"protein_coding"	"chr2"	203764279	203879521	"WDR12"	"-"	"processed_transcript"	76050	"opposite"	"6552_ID"	"Wdr12"	"Carf"
"5223"	"ENST00000441178.2"	"ENST00000676449.1"	"chr10"	105005643	105007773	"RPEL1"	"+"	"protein_coding"	"chr10"	104847920	105037362	"NT5C2"	"-"	"protein_coding"	2130	"opposite"	"11950_ID"	"Nt5c2"	"Rpe"
"5237"	"ENST00000441586.2"	"ENST00000604030.7"	"chr4"	152198322	152212605	"PRSS48"	"+"	"protein_coding"	"chr4"	152041432	152246757	"SH3D19"	"-"	"protein_coding"	14283	"opposite"	"9659_ID"	"Sh3d19"	"Prss48"
"5265"	"ENST00000442359.3"	"ENST00000460241.2"	"chr3"	46783839	46792381	"PRSS45P"	"-"	"protein_coding"	"chr3"	46753604	46854064	"AC109583.1"	"-"	"protein_coding"	8800	"same"	"9658_ID"	"Prss50"	"Prss45"
"5296"	"ENST00000443093.2"	"ENST00000638452.2"	"chr5"	131804581	131808735	"AC116366.1"	"-"	"lncRNA"	"chr5"	131746523	131981771	"AC116366.2"	"+"	"protein_coding"	4154	"opposite"	"3906_ID"	"Rad50"	"Irf1"
"5321"	"ENST00000444122.2"	"ENST00000510118.5"	"chr6"	166999091	167001082	"RAMACL"	"-"	"protein_coding"	"chr6"	166822875	167275999	"RPS6KA2"	"-"	"protein_coding"	1991	"same"	"9699_ID"	"Rps6ka2"	"Ramac"
"5322"	"ENST00000444122.2"	"ENST00000510118.5"	"chr6"	166999091	167001082	"RAMACL"	"-"	"protein_coding"	"chr6"	166822875	167275999	"RPS6KA2"	"-"	"protein_coding"	1991	"same"	"9699_ID"	"Rps6ka2"	"Gm10767"
"5324"	"ENST00000444197.3"	"ENST00000377149.5"	"chr6"	29407082	29408754	"OR10C1"	"+"	"protein_coding"	"chr6"	29393280	29424848	"OR11A1"	"-"	"protein_coding"	1672	"opposite"	"9347_ID"	"Olfr96"	"Olfr95"
"5334"	"ENST00000444490.6"	"ENST00000375587.8"	"chr9"	95255835	95298374	"ECM2"	"-"	"protein_coding"	"chr9"	95088234	95382811	"CENPP"	"+"	"protein_coding"	43102	"opposite"	"6869_ID"	"Cenpp"	"Ecm2"
"5338"	"ENST00000444847.2"	"ENST00000357429.10"	"chr7"	1084181	1098897	"GPR146"	"+"	"protein_coding"	"chr7"	1036621	1177893	"C7orf50"	"-"	"protein_coding"	14716	"opposite"	"7155_ID"	"3110082I17Rik"	"Gpr146"
"5342"	"ENST00000444914.7"	"ENST00000481916.6"	"chr17"	26800310	26824796	"SLC13A2"	"+"	"protein_coding"	"chr17"	26782769	26941201	"AC005726.1"	"-"	"nonsense_mediated_decay"	24489	"opposite"	"12071_ID"	"Spag5"	"Slc13a2"
"5388"	"ENST00000446157.3"	"ENST00000468472.1"	"chr3"	52867136	52869035	"MUSTN1"	"-"	"protein_coding"	"chr3"	52847297	52869745	"AC006254.1"	"-"	"nonsense_mediated_decay"	1906	"same"	"9189_ID"	"Mustn1"	"Mustn1"
"5447"	"ENST00000447630.5"	"ENST00000417572.5"	"chr3"	42623331	42636606	"SS18L2"	"+"	"protein_coding"	"chr3"	42589495	42642572	"SEC22C"	"-"	"protein_coding"	15095	"opposite"	"12548_ID"	"Sec22c"	"Ss18l2"
"5486"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1g"
"5487"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1n"
"5488"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al2c"
"5489"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1k"
"5490"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1m"
"5491"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al2b"
"5492"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1o"
"5493"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1d"
"5494"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1f"
"5495"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1j"
"5496"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1i"
"5497"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1b"
"5498"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1a"
"5499"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1e"
"5500"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1h"
"5501"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al2a"
"5502"	"ENST00000448797.2"	"ENST00000465127.1"	"chrX"	37853504	37854171	"H2AL1RP"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	667	"same"	"7209_ID"	"Tspan7"	"H2al1c"
"5553"	"ENST00000450136.2"	"ENST00000361209.6"	"chr9"	119449583	119463578	"TRIM32"	"+"	"protein_coding"	"chr9"	119187506	120177348	"ASTN2"	"-"	"protein_coding"	13996	"opposite"	"12779_ID"	"Astn2"	"Trim32"
"5567"	"ENST00000450655.1"	"ENST00000638452.2"	"chr5"	131877757	131892530	"IL5"	"-"	"protein_coding"	"chr5"	131746523	131981771	"AC116366.2"	"+"	"protein_coding"	15394	"opposite"	"7354_ID"	"Rad50"	"Il5"
"5582"	"ENST00000451085.5"	"ENST00000405709.7"	"chr7"	110731061	110765507	"LRRN3"	"+"	"protein_coding"	"chr7"	110302699	111202548	"IMMP2L"	"-"	"protein_coding"	34449	"opposite"	"7871_ID"	"Immp2l"	"Lrrn3"
"5592"	"ENST00000451275.1"	"ENST00000596085.1"	"chr19"	58208734	58220562	"ZNF154"	"-"	"nonsense_mediated_decay"	"chr19"	58193402	58228669	"ZNF551"	"+"	"protein_coding"	11828	"opposite"	"13020_ID"	"Zfp551"	"Zfy1"
"5593"	"ENST00000451275.1"	"ENST00000596085.1"	"chr19"	58208734	58220562	"ZNF154"	"-"	"nonsense_mediated_decay"	"chr19"	58193402	58228669	"ZNF551"	"+"	"protein_coding"	11828	"opposite"	"13020_ID"	"Zfp551"	"Zfy2"
"5654"	"ENST00000452633.5"	"ENST00000490848.5"	"chr15"	42129972	42140345	"PLA2G4B"	"+"	"protein_coding"	"chr15"	42120292	42140353	"JMJD7-PLA2G4B"	"+"	"retained_intron"	10373	"same"	"9569_ID"	"Gm28042"	"Gm28042"
